Question,Reference Answer,GraphRAG Answer,RAG Answer,GraphRAG_BLEU,RAG_BLEU,BLEU_Difference
" കുന്തം തുടങ്ങിയ ഉപകരണങ്ങൾ ഉണ്ടാക്കാനും പഠിച്ചു.""","""ആദിമ മനുഷ്യർ കാട്ടുജന്തുക്കളിൽ നിന്നും രക്ഷനേടാൻ ഉരുളൻ കല്ല്"," ദ്വിമുഖ മാതൃശില എന്നിവയും ഉപയോഗിച്ചിരുന്നു.""",മഴയുടെ കാര്യം ഇവിടെ സൂചിപ്പിച്ചിട്ടുണ്ട്. 250 സെന്റിമീറ്റർ മുതൽ 400 സെന്റിമീറ്റർ വരെയാണ് ഈ കാലയളവിൽ പടിഞ്ഞാറൻ തീരത്തും പശ്ചിമഘട്ടത്തിന്റെ പടിഞ്ഞാറും ലഭിക്കുന്ന മഴ.,5.815868174415823,0.0,5.815868174415823
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
 വാണിജ്യം," നഗരങ്ങളുടെ വളർച്ച എന്നിവയായിരുന്നു.""",ബി.സി.ഇ ആറാം നൂറ്റാണ്ടിൽ ഗംഗാതടത്തിൽ പുതിയ ആശയങ്ങൾ (ജൈന-ബുദ്ധ മതങ്ങൾ) ഉയർന്നുവരാനുണ്ടായ സാമൂഹിക-സാമ്പത്തിക സാഹചര്യങ്ങൾ എന്തെന്ന് വ്യക്തമല്ല. ബുദ്ധമതം ഇന്ത്യയിലെ സാമൂഹിക-സാമ്പത്തിക വികസനത്തിൽ ഒരു പ്രധാന പങ്ക് വഹിച്ചിട്ടുണ്ട്.,,1.286713095960916,0.0,1.286713095960916
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
,,,,0.0,0.0,0.0
